key,comments,string
locale,en-US

chat_prefix,,"{sokol} "
yes,,"Yes"
no,,"No"

keyed.hover,,"<type> <id>","Click to run <command>"
stat_priority.forward,,"<value>"
stat_priority.reverse,,"(<value>)"
stat_map.header,,"<amount> stat(s)"
stat_map.entry.single,,"  <key>: <name> = <value>"
stat_map.entry.multiple,,"  <key>: <name> = <value>","    x<length>  <stat>"
stat_node.separator,," -> "
stat_type.string.set,,"<value>"
stat_type.string.add,,"+<value>"
stat_type.number.set,,"<value>"
stat_type.number.add,,"+<value>"
stat_type.number.subtract,,"-<value>"
stat_type.number.multiply,,"×<value>"
stat_type.number.divide,,"÷<value>"
stat_type.item,,"<key> (model data <model_data> damage <damage> unbreakable <unbreakable> flags [<flags>])"

rule.constant.true,,"true"
rule.constant.false,,"false"
rule.not,,"not <term>"
rule.with_terms.result,,"[<terms>]"
rule.with_terms.term,,"(<term>)"
rule.and.separator,," and "
rule.or.separator,," or "
rule.has,,"has [<path>]"
rule.as,,"as [<path>] do (<term>)"
rule.as_root,,"as /[<path>] do (<term>)"
rule.is_root,,"is root?"
rule.as_parent,,"as parent do (<term>)"
rule.has_tags,,"has tags [<tags>]"
rule.has_features,,"has features [<features>]"
rule.is_complete,,"is complete?"

error.command,,"<message>"
error.exception.no_message,,"  <type>"
error.exception.message,,"  <type>: <message>"
error.caption.argument.parse.failure.duration,,"Could not parse duration '{input}': {error}"
error.caption.argument.parse.failure.key,,"Could not parse key '{input}': {error}"
error.caption.argument.parse.failure.blueprint_node.registry,,"Could not find component with ID '{input}'"
error.caption.argument.parse.failure.blueprint_node.generic,,"Could not parse blueprint node: {error}"
error.caption.argument.parse.failure.blueprint_node.invalid,,"Invalid blueprint node: {error}"
error.caption.argument.parse.failure.component.registry,,"Could not find component with ID '{input}'"
error.no_arg,,"No valid argument for `<arg>`!"
error.no_targets,,"No targets selected!"
error.no_node_value,,"No value for node <path>!"
error.no_config,,"No config provided for feature `<feature>`!"
error.item_creation,,"Could not create item."
error.item_not_tree,,"The targeted item is not a valid node tree."

command.version,,"<name> v<version> by <authors>."
command.reload.start,,"Reloading..."
command.reload.end,,"Reloaded. Check console for details."
command.setting,,"<line>"
command.list.entry,," - <type> <id> <name>"
command.list.total,,"<amount> result(s) found."
command.info.header,,"<type> <id> <name>"
command.info.description,,"  <line>"
command.component.tags,,,"  Tags: [ <tags> ]"
command.component.slots,,"  Slots: <amount> (hover to see rule)"
command.component.slot,,"    <id>: <name> [ <tags> ] @ <offset>"
command.component.features,,"  Features: <amount>"
command.component.feature,,"    <id>: <name>"
command.component.stats,,"  Stats: <amount> (hover to see entries)"
command.component.stat,,"   - x<amount>: <priority>  <rule>"
command.tree.root,,,"  <name> <id>"
command.tree.indent,,"  "
command.tree.empty,,"    <indent><slot> (empty)"
command.tree.child,,"    <indent><slot>: <name>"
command.tree.child_hover,,"<key> <slot>:",""
command.give,,"Gave <amount>x <item> to <targets>"
